Country,Country Long,party
AGO,Angola,GLOBAL_SOUTH
ALB,Albania,GLOBAL_NORTH
ARE,United Arab Emirates,GLOBAL_SOUTH
ARG,Argentina,GLOBAL_SOUTH
AUT,Austria,GLOBAL_NORTH
BDI,Burundi,GLOBAL_SOUTH
BEL,Belgium,GLOBAL_NORTH
BEN,Benin,GLOBAL_SOUTH
BFA,Burkina Faso,GLOBAL_SOUTH
BGD,Bangladesh,GLOBAL_SOUTH
BOL,"Bolivia, Plurinational State of",GLOBAL_SOUTH
BRA,Brazil,GLOBAL_SOUTH
BWA,Botswana,GLOBAL_SOUTH
CHE,Switzerland,GLOBAL_NORTH
CHL,Chile,GLOBAL_SOUTH
CHN,China,GLOBAL_SOUTH
CIV,Côte d'Ivoire,GLOBAL_SOUTH
COG,Congo,GLOBAL_SOUTH
CRI,Costa Rica,GLOBAL_SOUTH
CUB,Cuba,GLOBAL_SOUTH
CZE,Czechia,GLOBAL_NORTH
DEU,Germany,GLOBAL_NORTH
DZA,Algeria,GLOBAL_SOUTH
ECU,Ecuador,GLOBAL_SOUTH
EGY,Egypt,GLOBAL_SOUTH
ESP,Spain,GLOBAL_NORTH
EST,Estonia,GLOBAL_NORTH
ETH,Ethiopia,GLOBAL_SOUTH
FRA,France,GLOBAL_NORTH
GAB,Gabon,GLOBAL_SOUTH
GBR,United Kingdom of Great Britain and Northern Ireland,GLOBAL_NORTH
GEO,Georgia,GLOBAL_NORTH
GHA,Ghana,GLOBAL_SOUTH
GTM,Guatemala,GLOBAL_SOUTH
HRV,Croatia,GLOBAL_NORTH
HUN,Hungary,GLOBAL_NORTH
IDN,Indonesia,GLOBAL_SOUTH
IND,India,GLOBAL_SOUTH
IRL,Ireland,GLOBAL_NORTH
IRQ,Iraq,GLOBAL_SOUTH
ITA,Italy,GLOBAL_NORTH
JPN,Japan,GLOBAL_NORTH
KAZ,Kazakhstan,GLOBAL_NORTH
KEN,Kenya,GLOBAL_SOUTH
KGZ,Kyrgyzstan,GLOBAL_NORTH
KOR,"Korea, Republic of",GLOBAL_NORTH
KWT,Kuwait,GLOBAL_SOUTH
LBY,Libya,GLOBAL_SOUTH
LVA,Latvia,GLOBAL_NORTH
MAR,Morocco,GLOBAL_SOUTH
MDA,"Moldova, Republic of",GLOBAL_NORTH
MDV,Maldives,GLOBAL_SOUTH
MEX,Mexico,GLOBAL_NORTH
MKD,North Macedonia,GLOBAL_NORTH
MNE,Montenegro,GLOBAL_NORTH
MNG,Mongolia,GLOBAL_SOUTH
MRT,Mauritania,GLOBAL_SOUTH
MYS,Malaysia,GLOBAL_SOUTH
NAM,Namibia,GLOBAL_SOUTH
NGA,Nigeria,GLOBAL_SOUTH
NLD,Netherlands,GLOBAL_NORTH
PAK,Pakistan,GLOBAL_SOUTH
PAN,Panama,GLOBAL_SOUTH
PER,Peru,GLOBAL_SOUTH
PHL,Philippines,GLOBAL_SOUTH
POL,Poland,GLOBAL_NORTH
PRT,Portugal,GLOBAL_NORTH
PRY,Paraguay,GLOBAL_SOUTH
QAT,Qatar,GLOBAL_SOUTH
ROU,Romania,GLOBAL_NORTH
RUS,Russian Federation,GLOBAL_NORTH
RWA,Rwanda,GLOBAL_SOUTH
SAU,Saudi Arabia,GLOBAL_SOUTH
SLE,Sierra Leone,GLOBAL_SOUTH
SLV,El Salvador,GLOBAL_SOUTH
SVN,Slovenia,GLOBAL_NORTH
TGO,Togo,GLOBAL_SOUTH
THA,Thailand,GLOBAL_SOUTH
TUN,Tunisia,GLOBAL_SOUTH
UGA,Uganda,GLOBAL_SOUTH
USA,United States of America,GLOBAL_NORTH
VEN,"Venezuela, Bolivarian Republic of",GLOBAL_SOUTH
VNM,Viet Nam,GLOBAL_SOUTH
ZAF,South Africa,GLOBAL_SOUTH
