Country,A/HRC/RES/34/3,A/HRC/RES/34/8,A/HRC/RES/34/11,A/HRC/RES/34/12,A/HRC/34/L.42,A/HRC/34/L.43,A/HRC/34/L.44,A/HRC/34/L.45,A/HRC/34/L.51,A/HRC/34/L.47,A/HRC/RES/34/13,A/HRC/RES/34/23,A/HRC/RES/34/26,A/HRC/RES/34/27,A/HRC/RES/34/28,A/HRC/RES/34/29,A/HRC/RES/34/30,A/HRC/RES/34/31,A/HRC/RES/34/34,A/HRC/RES/34/36,A/HRC/RES/34/37,A/HRC/34/L.52,A/HRC/RES/35/3,A/HRC/RES/35/4,A/HRC/RES/35/8,A/HRC/RES/35/13,A/HRC/RES/35/21,A/HRC/35/L.39,A/HRC/35/L.40,A/HRC/35/L.45,A/HRC/35/L.47,A/HRC/35/L.48,A/HRC/35/L.41,A/HRC/35/L.42,A/HRC/RES/35/26,A/HRC/RES/35/27,A/HRC/RES/35/31,A/HRC/35/L.43,A/HRC/35/L.44,A/HRC/35/L.46,A/HRC/RES/36/1,A/HRC/RES/36/2,A/HRC/RES/36/3,A/HRC/RES/36/4,A/HRC/RES/36/9,A/HRC/RES/36/10,A/HRC/36/L.63,A/HRC/36/L.64,A/HRC/RES/36/17,A/HRC/RES/36/19,A/HRC/RES/36/20,A/HRC/RES/36/21,A/HRC/RES/36/22,A/HRC/RES/36/24,A/HRC/RES/36/30,A/HRC/36/L.37,A/HRC/36/L.38,A/HRC/36/L.39,A/HRC/36/L.40,A/HRC/36/L.41,A/HRC/36/L.42,A/HRC/36/L.62,A/HRC/36/L.43,A/HRC/36/L.45,A/HRC/36/L.46,A/HRC/36/L.47,A/HRC/36/L.48,A/HRC/36/L.49,A/HRC/36/L.50,A/HRC/36/L.51,A/HRC/36/L.52,A/HRC/36/L.53,A/HRC/36/L.54,A/HRC/36/L.55,A/HRC/36/L.56,A/HRC/36/L.57,A/HRC/36/L.58,A/HRC/36/L.59,A/HRC/36/L.60,A/HRC/36/L.61,A/HRC/RES/S-27/1
DEU,2,0,2,1,0,0,0,0,0,0,3,1,1,2,2,1,1,1,1,0,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ECU,1,1,1,1,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,1,0,0,1,1,2,2,0,1,0,1,2,2,2,2,2,0,0,1,2,2,2,1,1,1,0,2
EGY,1,1,1,1,1,1,1,1,1,0,1,0,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,2,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
ETH,1,1,1,1,1,1,2,2,1,0,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,2,2,2,2,2,0,0,0,1,1,1,1,1,1,1,2,0,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2
GBR,2,0,2,1,0,0,0,0,0,0,0,1,1,0,2,1,1,2,1,0,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEO,2,2,2,1,0,0,0,0,0,0,0,2,1,2,2,1,1,2,1,2,1,0,0,2,2,2,2,0,0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
GHA,1,1,1,1,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HRV,2,0,2,1,0,0,0,0,0,0,0,1,1,2,2,1,1,2,1,2,1,0,0,0,2,0,0,0,0,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HUN,2,0,2,1,0,0,0,0,0,0,0,1,1,2,2,1,1,2,1,2,1,0,0,0,0,2,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IDN,1,1,1,1,2,0,2,0,0,0,1,0,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,2,2,2,2,2,1,1,0,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
IND,1,1,1,1,1,1,1,1,1,0,1,0,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,2,2,2,0,2,1,1,0,1,1,1,1,1,1,1,1,0,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
IRQ,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,0,1,2,1,1,2,2,2,1,2,1
JPN,2,0,2,1,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,2,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KEN,1,1,1,1,0,2,2,2,1,2,1,0,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,0,1,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2
KGZ,1,2,1,1,2,0,2,2,1,2,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,0,0,0,2,2,0,2,2,1,1,0,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KOR,2,0,2,2,0,0,0,1,0,0,0,1,1,2,1,1,1,1,1,2,2,0,0,0,0,2,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,2,1,1,1,2,2,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LVA,2,0,2,1,0,0,0,0,0,0,0,1,1,2,2,1,1,2,1,2,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MNG,1,2,1,1,0,0,0,0,0,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,0,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,2
NGA,1,1,1,1,1,1,1,0,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1
NLD,2,0,2,1,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,2,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PAN,1,2,2,1,0,0,0,1,0,2,1,1,1,2,2,2,2,2,1,1,1,0,1,1,1,2,2,0,0,1,1,1,1,1,1,1,1,0,0,0,1,2,1,1,3,3,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PHL,1,1,1,1,1,2,2,0,2,0,1,2,2,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,2,2,2,1,2,1,1,1,1,1,1,2,2,0,2,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0
PRT,2,0,2,1,0,0,0,2,0,0,0,1,1,2,1,1,1,1,1,2,1,0,0,2,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PRY,1,1,2,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,1,1,1,0,1,1,1,1,3,0,0,2,2,2,1,1,1,1,2,0,0,0,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
QAT,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,2,2,1,2,2,0,0,1,1,2,1,1,1,1,2,2,0,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,1,0,1,0,2,2,1,1,2,1,1,2,1,1
RWA,1,1,1,1,0,2,0,0,0,2,1,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,0,0,2,2,2,1,1,1,2,1,2,2,2,1,3,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,2,2,0,0,0,0,2,1,2,2,2,0,2,0,2,2,2,2,2,0,0,1,2,1
SAU,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
SLV,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,0,0,0,0,0,1,1,1,2,2,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,2,2,1,1,0,2,1,0,0,1
SVN,2,0,2,1,0,0,0,1,0,0,0,1,1,2,1,1,1,1,1,2,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TGO,1,1,1,1,0,0,0,0,2,2,1,2,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,2,0,0,0,2,2,1,2,2,2,2,0,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
TUN,1,1,1,1,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,1,1,2,2,2,0,0,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,2,2,0,0,0,1,2,1
USA,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VEN,1,1,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3,0,0,0,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
ZAF,1,0,1,1,2,2,2,0,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,1,1,1,2,2,2,2,2,0,0,1,1,1,1,1,1,1,0,1,1,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2
