Country,A/HRC/31/L.41,A/HRC/31/L.42,A/HRC/31/L.43,A/HRC/31/L.44,A/HRC/31/L.45,A/HRC/31/L.46,A/HRC/31/L.47,A/HRC/31/L.48,A/HRC/31/L.49,A/HRC/31/L.50,A/HRC/31/L.51,A/HRC/31/L.53,A/HRC/31/L.54,A/HRC/31/L.55,A/HRC/31/L.56,A/HRC/31/L.57,A/HRC/31/L.58,A/HRC/31/L.59,A/HRC/31/L.60,A/HRC/31/L.61,A/HRC/31/L.62,A/HRC/31/L.63,A/HRC/31/L.64,A/HRC/31/L.65,A/HRC/31/L.66,A/HRC/31/L.67,A/HRC/31/L.68,A/HRC/31/L.69,A/HRC/31/L.70,A/HRC/31/L.71,A/HRC/31/L.72,A/HRC/31/L.74,A/HRC/31/L.75,A/HRC/31/L.76,A/HRC/31/L.78,A/HRC/31/L.79,A/HRC/RES/31/1,A/HRC/RES/31/4,A/HRC/RES/31/11,A/HRC/RES/31/17,A/HRC/RES/31/19,A/HRC/RES/31/22,A/HRC/RES/31/30,A/HRC/RES/31/32,A/HRC/RES/31/34,A/HRC/RES/31/35,A/HRC/RES/31/36,A/HRC/RES/31/37,A/HRC/32/L.36,A/HRC/32/L.37,A/HRC/32/L.42,A/HRC/32/L.43,A/HRC/32/L.52,A/HRC/32/L.54,A/HRC/32/L.53,A/HRC/32/L.55,A/HRC/32/L.56,A/HRC/32/L.59,A/HRC/32/L.60,A/HRC/32/L.61,A/HRC/32/L.62,A/HRC/32/L.63,A/HRC/32/L.64,A/HRC/32/L.65,A/HRC/32/L.67,A/HRC/32/L.69,A/HRC/32/L.70,A/HRC/32/L.71,A/HRC/32/L.72,A/HRC/32/L.80,A/HRC/32/L.81,A/HRC/32/L.73,A/HRC/32/L.74,A/HRC/32/L.75,A/HRC/32/L.76,A/HRC/32/L.77,A/HRC/32/L.78,A/HRC/32/L.79,A/HRC/32/L.82,A/HRC/32/L.83,A/HRC/32/L.84,A/HRC/32/L.89,A/HRC/32/L.86,A/HRC/32/L.87,A/HRC/32/L.88,A/HRC/RES/32/2,A/HRC/RES/32/9,A/HRC/RES/32/12,A/HRC/RES/32/23,A/HRC/RES/32/25,A/HRC/RES/32/26,A/HRC/RES/32/28,A/HRC/RES/32/29,A/HRC/RES/32/31,A/HRC/33/L.34,A/HRC/33/L.35,A/HRC/33/L.36,A/HRC/33/L.37,A/HRC/33/L.38,A/HRC/33/L.42,A/HRC/33/L.46,A/HRC/33/L.49,A/HRC/33/L.51,A/HRC/RES/33/3,A/HRC/RES/33/4,A/HRC/RES/33/10,A/HRC/RES/33/14,A/HRC/RES/33/19,A/HRC/RES/33/21,A/HRC/RES/33/23,A/HRC/RES/33/24,A/HRC/RES/33/30,A/HRC/RES/S-25/1
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,2,0,1,1,2,1,1,0,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1
ARE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,1,1
BDI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,0,1,1,1,0,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,2,0,1,0,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,0,0,1,0
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1
BGD,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,1,0,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2
BOL,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,0,0,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,0,0,1,0,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,0,0,1,0
BRA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,1,1,1,1,1,0,0,0,0,0,0,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,2,1,1,0,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1
CHN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,0,0,1,0
CIV,0,2,0,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,0,0,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,0,0,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
COG,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,1,1,1,1,2,1,3,0,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,2,0,1,1,1,2,2,1,2,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,2,2,1,2
CUB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,2,2,2,2,3,3,1,1,1,3,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,0,0,1,0,0,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,0,0,1,0
DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1
DZA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,1,0,1,1,1,0,2,1,2,1,4,4,2,2,2,2,2,2,2,1,1,1,1,2,1,0,2,1,0
ECU,2,1,2,2,2,2,0,0,0,2,1,1,1,1,2,0,2,2,2,2,0,0,2,2,2,0,0,2,1,2,2,2,1,2,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2
EGY,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ETH,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,0,0,0,0,2,2,2,0,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,4,4,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
